0	1.02	1.45	0
3	2	1.65	1
3.3	2.6	5.8	3.2
10	2.92	6.8	3.9
18	3.641	8.0355	4.4839
43	3.5801	8.0379	4.4856
80	3.502	8.045	4.49
120	3.4268	8.0505	4.5
165	3.3711	8.175	4.509
210	3.3243	8.3007	4.5184
260	3.3663	8.4822	4.6094
310	3.411	8.665	4.6964
360	3.4577	8.8476	4.7832
410	3.9317	9.3601	5.0806
460	3.9273	9.528	5.1864
510	3.9233	9.6962	5.2922
560	3.9218	9.864	5.3989
610	3.9206	10.032	5.5047
660	4.2387	10.7909	5.9607
710	4.2986	10.9222	6.0898
760	4.3565	11.0553	6.21
809.5	4.4118	11.1355	6.2424
859	4.465	11.2228	6.2799
908.5	4.5162	11.3068	6.3164
958	4.5654	11.3897	6.3519
1007.5	4.5926	11.4704	6.386
1057	4.6198	11.5493	6.4182
1106.5	4.6467	11.6265	6.4514
1156	4.6735	11.702	6.4822
1205.5	4.7001	11.7768	6.5131
1255	4.7266	11.8491	6.5431
1304.5	4.7528	11.9208	6.5728
1354	4.779	11.9891	6.6009
1403.5	4.805	12.0571	6.6285
1453	4.8307	12.1247	6.6554
1502.5	4.8562	12.1912	6.6813
1552	4.8817	12.2558	6.707
1601.5	4.9069	12.3181	6.7323
1651	4.9321	12.3813	6.7579
1700.5	4.957	12.4427	6.782
1750	4.9817	12.503	6.8056
1799.5	5.0062	12.5638	6.8289
1849	5.0306	12.6226	6.8517
1898.5	5.0548	12.6807	6.8743
1948	5.0789	12.7384	6.8972
1997.5	5.1027	12.7956	6.9194
2047	5.1264	12.8524	6.9416
2096.5	5.1499	12.9093	6.9625
2146	5.1732	12.9663	6.9852
2195.5	5.1963	13.0226	7.0069
2245	5.2192	13.0786	7.0286
2294.5	5.242	13.1337	7.0504
2344	5.2646	13.1895	7.0722
2393.5	5.287	13.2465	7.0932
2443	5.3092	13.3017	7.1144
2492.5	5.3313	13.3584	7.1368
